date,day_of_week,page_loads,unique_visits,first_time_visits,returning_visits
9/14/2014,Sunday,2.146,1.582,1.43,152.0
9/15/2014,Monday,3.621,2.528,2.297,231.0
9/16/2014,Tuesday,3.698,2.63,2.352,278.0
9/17/2014,Wednesday,3.667,2.614,2.327,287.0
9/18/2014,Thursday,3.316,2.366,2.13,236.0
9/19/2014,Friday,2.815,1.863,1.622,241.0
9/20/2014,Saturday,1.658,1.118,985.0,133.0
9/21/2014,Sunday,2.288,1.656,1.481,175.0
9/22/2014,Monday,3.638,2.586,2.312,274.0
9/23/2014,Tuesday,4.462,3.257,2.989,268.0
9/24/2014,Wednesday,4.414,3.175,2.891,284.0
9/25/2014,Thursday,4.315,3.029,2.743,286.0
9/26/2014,Friday,3.323,2.249,2.033,216.0
9/27/2014,Saturday,1.656,1.18,1.04,140.0
9/28/2014,Sunday,2.465,1.806,1.613,193.0
9/29/2014,Monday,4.096,2.873,2.577,296.0
9/30/2014,Tuesday,4.474,3.032,2.72,312.0
10/1/2014,Wednesday,4.124,2.849,2.541,308.0
10/2/2014,Thursday,3.514,2.489,2.239,250.0
10/3/2014,Friday,3.005,2.097,1.856,241.0
10/4/2014,Saturday,2.054,1.436,1.274,162.0
10/5/2014,Sunday,2.847,1.913,1.713,200.0
10/6/2014,Monday,4.501,3.181,2.853,328.0
10/7/2014,Tuesday,4.603,3.163,2.804,359.0
10/8/2014,Wednesday,4.187,3.014,2.663,351.0
10/9/2014,Thursday,4.343,2.864,2.545,319.0
10/10/2014,Friday,3.565,2.382,2.1,282.0
10/11/2014,Saturday,2.08,1.457,1.28,177.0
10/12/2014,Sunday,3.031,2.089,1.856,233.0
10/13/2014,Monday,4.814,3.339,2.973,366.0
10/14/2014,Tuesday,5.04,3.604,3.217,387.0
10/15/2014,Wednesday,5.028,3.515,3.094,421.0
10/16/2014,Thursday,4.658,3.331,2.955,376.0
10/17/2014,Friday,3.624,2.477,2.148,329.0
10/18/2014,Saturday,2.285,1.619,1.416,203.0
10/19/2014,Sunday,3.454,2.346,2.06,286.0
10/20/2014,Monday,5.307,3.717,3.308,409.0
10/21/2014,Tuesday,5.135,3.701,3.28,421.0
10/22/2014,Wednesday,5.084,3.611,3.177,434.0
10/23/2014,Thursday,4.65,3.316,2.94,376.0
10/24/2014,Friday,3.571,2.498,2.17,328.0
10/25/2014,Saturday,2.354,1.661,1.417,244.0
10/26/2014,Sunday,3.497,2.508,2.218,290.0
10/27/2014,Monday,5.294,3.737,3.286,451.0
10/28/2014,Tuesday,4.643,3.328,2.905,423.0
10/29/2014,Wednesday,4.596,3.279,2.863,416.0
10/30/2014,Thursday,4.162,3.041,2.657,384.0
10/31/2014,Friday,2.933,2.007,1.728,279.0
11/1/2014,Saturday,2.202,1.496,1.27,226.0
11/2/2014,Sunday,3.083,2.204,1.94,264.0
11/3/2014,Monday,4.376,3.057,2.629,428.0
11/4/2014,Tuesday,4.704,3.141,2.739,402.0
11/5/2014,Wednesday,4.306,3.2,2.797,403.0
11/6/2014,Thursday,4.178,3.034,2.627,407.0
11/7/2014,Friday,3.236,2.318,1.975,343.0
11/8/2014,Saturday,2.01,1.536,1.345,191.0
11/9/2014,Sunday,2.901,2.141,1.849,292.0
11/10/2014,Monday,4.754,3.325,2.885,440.0
11/11/2014,Tuesday,4.417,3.203,2.793,410.0
11/12/2014,Wednesday,4.535,3.351,2.897,454.0
11/13/2014,Thursday,4.274,3.194,2.758,436.0
11/14/2014,Friday,3.382,2.423,2.061,362.0
11/15/2014,Saturday,2.085,1.488,1.28,208.0
11/16/2014,Sunday,3.083,2.215,1.926,289.0
11/17/2014,Monday,4.86,3.559,3.069,490.0
11/18/2014,Tuesday,4.893,3.57,3.133,437.0
11/19/2014,Wednesday,4.866,3.544,3.056,488.0
11/20/2014,Thursday,4.584,3.357,2.899,458.0
11/21/2014,Friday,3.914,2.75,2.361,389.0
11/22/2014,Saturday,2.431,1.716,1.463,253.0
11/23/2014,Sunday,3.157,2.369,2.082,287.0
11/24/2014,Monday,5.045,3.615,3.146,469.0
11/25/2014,Tuesday,4.746,3.236,2.821,415.0
11/26/2014,Wednesday,4.314,2.919,2.513,406.0
11/27/2014,Thursday,3.663,2.476,2.162,314.0
11/28/2014,Friday,3.27,2.268,1.931,337.0
11/29/2014,Saturday,2.905,1.976,1.695,281.0
11/30/2014,Sunday,4.016,2.832,2.489,343.0
